==== START logs for container kube-apiserver of pod kube-system/kube-apiserver-article3-performance-control-plane ====
I0712 14:46:57.393684       1 options.go:263] external host was not specified, using 172.18.0.6
I0712 14:46:59.016703       1 handler.go:304] Adding GroupVersion networking.k8s.io v1 to ResourceManager
W0712 14:46:59.016746       1 genericapiserver.go:787] Skipping API networking.k8s.io/v1beta1 because it has no resources.
I0712 14:46:59.017906       1 handler.go:304] Adding GroupVersion node.k8s.io v1 to ResourceManager
W0712 14:46:59.017963       1 genericapiserver.go:787] Skipping API node.k8s.io/v1beta1 because it has no resources.
W0712 14:46:59.017973       1 genericapiserver.go:787] Skipping API node.k8s.io/v1alpha1 because it has no resources.
I0712 14:46:59.019311       1 handler.go:304] Adding GroupVersion policy v1 to ResourceManager
W0712 14:46:59.019356       1 genericapiserver.go:787] Skipping API policy/v1beta1 because it has no resources.
I0712 14:46:59.021646       1 handler.go:304] Adding GroupVersion rbac.authorization.k8s.io v1 to ResourceManager
W0712 14:46:59.021717       1 genericapiserver.go:787] Skipping API rbac.authorization.k8s.io/v1beta1 because it has no resources.
W0712 14:46:59.021729       1 genericapiserver.go:787] Skipping API rbac.authorization.k8s.io/v1alpha1 because it has no resources.
I0712 14:46:59.022328       1 handler.go:304] Adding GroupVersion scheduling.k8s.io v1 to ResourceManager
W0712 14:46:59.022373       1 genericapiserver.go:787] Skipping API scheduling.k8s.io/v1beta1 because it has no resources.
W0712 14:46:59.022382       1 genericapiserver.go:787] Skipping API scheduling.k8s.io/v1alpha1 because it has no resources.
I0712 14:46:59.026262       1 handler.go:304] Adding GroupVersion storage.k8s.io v1 to ResourceManager
W0712 14:46:59.026299       1 genericapiserver.go:787] Skipping API storage.k8s.io/v1beta1 because it has no resources.
W0712 14:46:59.026307       1 genericapiserver.go:787] Skipping API storage.k8s.io/v1alpha1 because it has no resources.
I0712 14:46:59.027902       1 handler.go:304] Adding GroupVersion flowcontrol.apiserver.k8s.io v1 to ResourceManager
W0712 14:46:59.027974       1 genericapiserver.go:787] Skipping API flowcontrol.apiserver.k8s.io/v1beta3 because it has no resources.
W0712 14:46:59.027986       1 genericapiserver.go:787] Skipping API flowcontrol.apiserver.k8s.io/v1beta2 because it has no resources.
W0712 14:46:59.027990       1 genericapiserver.go:787] Skipping API flowcontrol.apiserver.k8s.io/v1beta1 because it has no resources.
I0712 14:46:59.033979       1 handler.go:304] Adding GroupVersion apps v1 to ResourceManager
W0712 14:46:59.034021       1 genericapiserver.go:787] Skipping API apps/v1beta2 because it has no resources.
W0712 14:46:59.034032       1 genericapiserver.go:787] Skipping API apps/v1beta1 because it has no resources.
I0712 14:46:59.036480       1 handler.go:304] Adding GroupVersion admissionregistration.k8s.io v1 to ResourceManager
W0712 14:46:59.036520       1 genericapiserver.go:787] Skipping API admissionregistration.k8s.io/v1beta1 because it has no resources.
W0712 14:46:59.036531       1 genericapiserver.go:787] Skipping API admissionregistration.k8s.io/v1alpha1 because it has no resources.
I0712 14:46:59.037671       1 handler.go:304] Adding GroupVersion events.k8s.io v1 to ResourceManager
W0712 14:46:59.037727       1 genericapiserver.go:787] Skipping API events.k8s.io/v1beta1 because it has no resources.
I0712 14:46:59.040468       1 handler.go:304] Adding GroupVersion resource.k8s.io v1 to ResourceManager
W0712 14:46:59.040501       1 genericapiserver.go:787] Skipping API resource.k8s.io/v1beta2 because it has no resources.
W0712 14:46:59.040510       1 genericapiserver.go:787] Skipping API resource.k8s.io/v1beta1 because it has no resources.
W0712 14:46:59.040517       1 genericapiserver.go:787] Skipping API resource.k8s.io/v1alpha3 because it has no resources.
W0712 14:46:59.044342       1 logging.go:55] [core] [Channel #255 SubChannel #256]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
I0712 14:46:59.053931       1 handler.go:304] Adding GroupVersion apiregistration.k8s.io v1 to ResourceManager
W0712 14:46:59.053995       1 genericapiserver.go:787] Skipping API apiregistration.k8s.io/v1beta1 because it has no resources.
I0712 14:46:59.521257       1 dynamic_cafile_content.go:161] "Starting controller" name="request-header::/etc/kubernetes/pki/front-proxy-ca.crt"
I0712 14:46:59.521385       1 dynamic_cafile_content.go:161] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
I0712 14:46:59.521688       1 dynamic_serving_content.go:135] "Starting controller" name="serving-cert::/etc/kubernetes/pki/apiserver.crt::/etc/kubernetes/pki/apiserver.key"
I0712 14:46:59.522278       1 secure_serving.go:211] Serving securely on [::]:6443
I0712 14:46:59.522399       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
I0712 14:46:59.522455       1 controller.go:78] Starting OpenAPI AggregationController
I0712 14:46:59.522526       1 system_namespaces_controller.go:66] Starting system namespaces controller
I0712 14:46:59.522628       1 local_available_controller.go:156] Starting LocalAvailability controller
I0712 14:46:59.522642       1 cache.go:32] Waiting for caches to sync for LocalAvailability controller
I0712 14:46:59.522657       1 remote_available_controller.go:425] Starting RemoteAvailability controller
I0712 14:46:59.522693       1 cache.go:32] Waiting for caches to sync for RemoteAvailability controller
I0712 14:46:59.522706       1 crdregistration_controller.go:114] Starting crd-autoregister controller
I0712 14:46:59.522727       1 shared_informer.go:349] "Waiting for caches to sync" controller="crd-autoregister"
I0712 14:46:59.522713       1 gc_controller.go:85] "Starting apiserver lease garbage collector"
I0712 14:46:59.522790       1 dynamic_cafile_content.go:161] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
I0712 14:46:59.522882       1 dynamic_cafile_content.go:161] "Starting controller" name="request-header::/etc/kubernetes/pki/front-proxy-ca.crt"
I0712 14:46:59.523226       1 shared_informer.go:370] "Waiting for caches to sync"
I0712 14:46:59.522731       1 dynamic_serving_content.go:135] "Starting controller" name="aggregator-proxy-cert::/etc/kubernetes/pki/front-proxy-client.crt::/etc/kubernetes/pki/front-proxy-client.key"
I0712 14:46:59.522754       1 default_servicecidr_controller.go:110] Starting kubernetes-service-cidr-controller
I0712 14:46:59.523399       1 shared_informer.go:349] "Waiting for caches to sync" controller="kubernetes-service-cidr-controller"
I0712 14:46:59.523847       1 controller.go:127] "Starting legacy_token_tracking_controller"
I0712 14:46:59.523860       1 shared_informer.go:370] "Waiting for caches to sync"
I0712 14:46:59.524582       1 customresource_discovery_controller.go:294] Starting DiscoveryController
I0712 14:46:59.524616       1 apf_controller.go:377] Starting API Priority and Fairness config controller
I0712 14:46:59.522528       1 controller.go:113] "Deleting old lease on startup" lease="kube-system/apiserver-xgyhfidfajaviv63r2435hhdni"
I0712 14:46:59.524748       1 repairip.go:210] Starting ipallocator-repair-controller
I0712 14:46:59.524763       1 shared_informer.go:349] "Waiting for caches to sync" controller="ipallocator-repair-controller"
I0712 14:46:59.522530       1 aggregator.go:185] waiting for initial CRD sync...
I0712 14:46:59.522548       1 controller.go:80] Starting OpenAPI V3 AggregationController
I0712 14:46:59.527160       1 controller.go:142] Starting OpenAPI controller
I0712 14:46:59.527242       1 controller.go:90] Starting OpenAPI V3 controller
I0712 14:46:59.527270       1 naming_controller.go:305] Starting NamingConditionController
I0712 14:46:59.527305       1 nonstructuralschema_controller.go:202] Starting NonStructuralSchemaConditionController
I0712 14:46:59.527362       1 apiapproval_controller.go:196] Starting KubernetesAPIApprovalPolicyConformantConditionController
I0712 14:46:59.527393       1 crd_finalizer.go:273] Starting CRDFinalizer
I0712 14:46:59.522767       1 cluster_authentication_trust_controller.go:459] Starting cluster_authentication_trust_controller controller
I0712 14:46:59.527446       1 shared_informer.go:370] "Waiting for caches to sync"
I0712 14:46:59.522680       1 apiservice_controller.go:100] Starting APIServiceRegistrationController
I0712 14:46:59.550530       1 cache.go:32] Waiting for caches to sync for APIServiceRegistrationController controller
I0712 14:46:59.611530       1 shared_informer.go:377] "Caches are synced"
I0712 14:46:59.611579       1 policy_source.go:248] refreshing policies
I0712 14:46:59.623565       1 cache.go:39] Caches are synced for LocalAvailability controller
I0712 14:46:59.623666       1 shared_informer.go:356] "Caches are synced" controller="kubernetes-service-cidr-controller"
I0712 14:46:59.623716       1 shared_informer.go:356] "Caches are synced" controller="crd-autoregister"
I0712 14:46:59.623695       1 default_servicecidr_controller.go:169] Creating default ServiceCIDR with CIDRs: [10.96.0.0/16]
I0712 14:46:59.623757       1 aggregator.go:187] initial CRD sync complete...
I0712 14:46:59.623768       1 autoregister_controller.go:144] Starting autoregister controller
I0712 14:46:59.623775       1 cache.go:32] Waiting for caches to sync for autoregister controller
I0712 14:46:59.623781       1 cache.go:39] Caches are synced for autoregister controller
I0712 14:46:59.623816       1 shared_informer.go:377] "Caches are synced"
I0712 14:46:59.623998       1 shared_informer.go:377] "Caches are synced"
I0712 14:46:59.624708       1 apf_controller.go:382] Running API Priority and Fairness config worker
I0712 14:46:59.624722       1 apf_controller.go:385] Running API Priority and Fairness periodic rebalancing process
I0712 14:46:59.624919       1 cache.go:39] Caches are synced for RemoteAvailability controller
I0712 14:46:59.625443       1 shared_informer.go:356] "Caches are synced" controller="ipallocator-repair-controller"
I0712 14:46:59.626675       1 controller.go:667] quota admission added evaluator for: namespaces
I0712 14:46:59.627485       1 shared_informer.go:377] "Caches are synced"
I0712 14:46:59.640924       1 cidrallocator.go:302] created ClusterIP allocator for Service CIDR 10.96.0.0/16
I0712 14:46:59.641039       1 default_servicecidr_controller.go:231] Setting default ServiceCIDR condition Ready to True
I0712 14:46:59.650776       1 cache.go:39] Caches are synced for APIServiceRegistrationController controller
I0712 14:46:59.652274       1 handler_discovery.go:451] Starting ResourceDiscoveryManager
I0712 14:46:59.657622       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
I0712 14:46:59.661555       1 controller.go:667] quota admission added evaluator for: leases.coordination.k8s.io
I0712 14:46:59.700729       1 shared_informer.go:356] "Caches are synced" controller="node_authorizer"
I0712 14:47:00.538554       1 storage_scheduling.go:123] created PriorityClass system-node-critical with value 2000001000
I0712 14:47:00.551993       1 storage_scheduling.go:123] created PriorityClass system-cluster-critical with value 2000000000
I0712 14:47:00.552047       1 storage_scheduling.go:139] all system priority classes are created successfully or already exist.
I0712 14:47:02.490857       1 controller.go:667] quota admission added evaluator for: roles.rbac.authorization.k8s.io
I0712 14:47:02.643684       1 controller.go:667] quota admission added evaluator for: rolebindings.rbac.authorization.k8s.io
I0712 14:47:02.844259       1 alloc.go:329] "allocated clusterIPs" service="default/kubernetes" clusterIPs={"IPv4":"10.96.0.1"}
W0712 14:47:02.860226       1 lease.go:265] Resetting endpoints for master service "kubernetes" to [172.18.0.6]
I0712 14:47:02.862496       1 controller.go:667] quota admission added evaluator for: endpoints
I0712 14:47:02.873031       1 controller.go:667] quota admission added evaluator for: endpointslices.discovery.k8s.io
I0712 14:47:03.748362       1 controller.go:667] quota admission added evaluator for: serviceaccounts
I0712 14:47:03.918498       1 controller.go:667] quota admission added evaluator for: deployments.apps
I0712 14:47:03.953472       1 alloc.go:329] "allocated clusterIPs" service="kube-system/kube-dns" clusterIPs={"IPv4":"10.96.0.10"}
I0712 14:47:03.974367       1 controller.go:667] quota admission added evaluator for: daemonsets.apps
I0712 14:47:09.349015       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
I0712 14:47:09.358035       1 cidrallocator.go:278] updated ClusterIP allocator for Service CIDR 10.96.0.0/16
I0712 14:47:09.542278       1 controller.go:667] quota admission added evaluator for: controllerrevisions.apps
I0712 14:47:09.597512       1 controller.go:667] quota admission added evaluator for: replicasets.apps
I0712 14:47:09.597512       1 controller.go:667] quota admission added evaluator for: replicasets.apps
I0712 14:55:38.988660       1 controller.go:667] quota admission added evaluator for: poddisruptionbudgets.policy
I0712 14:55:39.192750       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.291409       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.310671       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.333804       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.353168       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.368393       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.436153       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.485365       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.499424       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.521073       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.539454       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.554933       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.577184       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.616270       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.633855       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.661527       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
W0712 14:55:39.670003       1 logging.go:55] [core] [Channel #298 SubChannel #299]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0712 14:55:39.687693       1 logging.go:55] [core] [Channel #302 SubChannel #303]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0712 14:55:39.699598       1 logging.go:55] [core] [Channel #306 SubChannel #307]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0712 14:55:39.713307       1 logging.go:55] [core] [Channel #310 SubChannel #311]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: authentication handshake failed: context canceled"
W0712 14:55:39.726490       1 logging.go:55] [core] [Channel #314 SubChannel #315]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0712 14:55:39.754718       1 logging.go:55] [core] [Channel #318 SubChannel #319]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0712 14:55:39.769263       1 logging.go:55] [core] [Channel #322 SubChannel #323]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0712 14:55:39.791717       1 logging.go:55] [core] [Channel #326 SubChannel #327]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0712 14:55:39.804266       1 logging.go:55] [core] [Channel #330 SubChannel #331]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: authentication handshake failed: context canceled"
W0712 14:55:39.817512       1 logging.go:55] [core] [Channel #334 SubChannel #335]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0712 14:55:39.835502       1 logging.go:55] [core] [Channel #338 SubChannel #339]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0712 14:55:39.851404       1 logging.go:55] [core] [Channel #342 SubChannel #343]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0712 14:55:39.862952       1 logging.go:55] [core] [Channel #346 SubChannel #347]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0712 14:55:39.881353       1 logging.go:55] [core] [Channel #350 SubChannel #351]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
I0712 14:55:39.931727       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.944192       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.966469       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:39.984817       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:40.004506       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:40.015617       1 handler.go:304] Adding GroupVersion crd.projectcalico.org v1 to ResourceManager
I0712 14:55:40.051051       1 handler.go:304] Adding GroupVersion policy.networking.k8s.io v1alpha2 to ResourceManager
W0712 14:55:50.178568       1 logging.go:55] [core] [Channel #354 SubChannel #355]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: authentication handshake failed: context canceled"
W0712 14:55:50.584299       1 logging.go:55] [core] [Channel #358 SubChannel #359]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0712 14:55:55.024549       1 logging.go:55] [core] [Channel #365 SubChannel #366]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0712 14:55:55.046786       1 logging.go:55] [core] [Channel #369 SubChannel #370]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: authentication handshake failed: context canceled"
W0712 14:55:55.099123       1 logging.go:55] [core] [Channel #373 SubChannel #374]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: authentication handshake failed: context canceled"
W0712 14:55:55.139436       1 logging.go:55] [core] [Channel #377 SubChannel #378]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: authentication handshake failed: context canceled"
W0712 14:55:55.172216       1 logging.go:55] [core] [Channel #381 SubChannel #382]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0712 14:55:55.190048       1 logging.go:55] [core] [Channel #385 SubChannel #386]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0712 14:55:57.281130       1 logging.go:55] [core] [Channel #389 SubChannel #390]grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", BalancerAttributes: {"<%!p(pickfirstleaf.managedByPickfirstKeyType={})>": "<%!p(bool=true)>" }}. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
I0712 14:56:12.926158       1 alloc.go:329] "allocated clusterIPs" service="article3-cni-check/server" clusterIPs={"IPv4":"10.96.173.141"}
E0712 14:56:26.506362       1 conn.go:339] Error on socket receive: read tcp 172.18.0.6:6443->172.18.0.1:51860: use of closed network connection
I0712 14:56:27.023738       1 controller.go:667] quota admission added evaluator for: networkpolicies.networking.k8s.io
E0712 14:56:28.537003       1 conn.go:339] Error on socket receive: read tcp 172.18.0.6:6443->172.18.0.1:51882: use of closed network connection
E0712 14:56:29.165677       1 conn.go:339] Error on socket receive: read tcp 172.18.0.6:6443->172.18.0.1:51902: use of closed network connection
==== END logs for container kube-apiserver of pod kube-system/kube-apiserver-article3-performance-control-plane ====
